ModuleCode,Gender,value,DEPARTMENT
CAM4063-N,M,8,CAM
CIS0002-N,M,43,CSIS
CIS0003-N,M,47,CSIS
CIS0005-N,M,51,CSIS
CIS1001-N,M,37,CSIS
CIS1005-N,M,16,CSIS
CIS1007-N,M,39,CSIS
CIS1009-N,M,8,CSIS
CIS1010-N,M,73,CSIS
CIS1013-N,M,75,CSIS
CIS1018-N,M,180,CSIS
CIS1019-N,M,26,CSIS
CIS2001-N,M,47,CSIS
CIS2009-N,M,11,CSIS
CIS2014-N,M,38,CSIS
CIS2015-N,M,14,CSIS
CIS2016-N,M,28,CSIS
CIS2017-N,M,88,CSIS
CIS2018-N,M,38,CSIS
CIS2019-N,M,18,CSIS
CIS2021-N,M,48,CSIS
CIS2026-N,M,38,CSIS
CIS4008-N,M,16,CSIS
CIS4009-N,M,8,CSIS
CIS4010-N,M,11,CSIS
CIS4012-N,M,39,CSIS
CIS4019-N,M,30,CSIS
CIS4020-N,M,35,CSIS
CIS4021-N,M,18,CSIS
CIS4022-N,M,18,CSIS
CIS4023-N,M,20,CSIS
CIS4027-N,M,2,CSIS
CIS4037-N,M,15,CSIS
CIS4040-N,M,9,CSIS
COM3036-N,M,52,COM
COM3037-N,M,81,COM
COM3038-N,M,45,COM
COM3040-N,M,48,COM
COM3041-N,M,61,COM
COM3042-N,M,17,COM
COM3045-N,M,9,COM
COM3046-N,M,17,COM
COM3047-N,M,27,COM
COM3050-N,M,27,COM
COM3051-N,M,167,COM
COM3064-N,M,12,COM
COM3065-N,M,13,COM
COM3067-N,M,12,COM
COM4077-N,M,1,COM
COM4083-N,M,2,COM
COM4088-N,M,2,COM
COM4090-N,M,2,COM
DES2187-N,M,29,DES
DES2188-N,M,32,DES
DES2193-N,M,32,DES
DES3095-N,M,22,DES
DES3096-N,M,20,DES
DES4032-N,M,13,DES
GAV0001-N,M,21,GAV
GAV0002-N,M,29,GAV
GAV0003-N,M,85,GAV
GAV0004-N,M,53,GAV
GAV0005-N,M,53,GAV
GAV1001-N,M,27,GAV
GAV1002-N,M,106,GAV
GAV1003-N,M,212,GAV
GAV1004-N,M,136,GAV
GAV1005-N,M,78,GAV
GAV1006-N,M,93,GAV
GAV1007-N,M,15,GAV
GAV1009-N,M,182,GAV
GAV1012-N,M,14,GAV
GAV1013-N,M,58,GAV
GAV1015-N,M,252,GAV
GAV1030-N,M,41,GAV
GAV1033-N,M,21,GAV
GAV2002-N,M,8,GAV
GAV2003-N,M,26,GAV
GAV2004-N,M,51,GAV
GAV2005-N,M,59,GAV
GAV2007-N,M,69,GAV
GAV2008-N,M,49,GAV
GAV2010-N,M,13,GAV
GAV2011-N,M,93,GAV
GAV2015-N,M,8,GAV
GAV2016-N,M,52,GAV
GAV2017-N,M,65,GAV
GAV2021-N,M,98,GAV
GAV2022-N,M,12,GAV
GAV2024-N,M,38,GAV
GAV2025-N,M,136,GAV
GAV2027-N,M,94,GAV
GAV2028-N,M,70,GAV
GAV2029-N,M,68,GAV
GAV2038-N,M,13,GAV
GAV3003-N,M,43,GAV
GAV3008-N,M,5,GAV
GAV3009-N,M,178,GAV
GAV3010-N,M,43,GAV
GAV3012-N,M,12,GAV
GAV3016-N,M,13,GAV
GAV3020-N,M,220,GAV
GAV3021-N,M,43,GAV
